,What is your age?,Current educational position?,Gender?,Your  current CGPA?,Your Higher Secondary School(H. SC) or A level or equivalent result?,At what age you had started playing games?,Do you play games on mobile or pc?,When you go to sleep?,Do you attend your morning class regularly?,The average time you spend playing games?,Which type of game you addict more?,Do you read newspaper?,Which type of game you played most?,How many time you spend with family and friend?,How you fill when you can not play game in whole day?,How you fill to complete game level?,If you didn't finish games last level what is your feeling?,Do you fill Fatigue?,Do you play games for stress relief?,Are you wearing glasses?
426,22,Bachelor Level,Male,2.09,3.0,18,Mobile,0,No,6,CALL OF DUTY,Regular,Non Paid,4,positive,Bored,Stressed,No,No,No
427,20,Bachelor Level,Female,3.37,4.0,19,Mobile,2,Yes,6,IGA,Regular,Non Paid,4,negative,Bored,No feeling,No,No,Yes
428,21,Bachelor Level,Female,2.5,4.0,20,PC,1,Yes,4,IGA,Not regular,Paid,3,negative,Excited,No feeling,No,Yes,Yes
429,28,Master's Level,Female,2.0,4.0,23,PC,2,No,4,COC,Regular,Paid,4,negative,Excited,No feeling,Yes,No,Yes
430,20,Bachelor Level,Female,3.05,4.5,19,Mobile,1,Yes,2,COC,Regular,Paid,2,negative,Bored,No feeling,Yes,Yes,Yes
431,23,Bachelor Level,Female,3.5,4.85,21,PC,2,Yes,3,CALL OF DUTY,Not regular,Paid,4,negative,Excited,Stressed,Yes,No,No
432,28,Master's Level,Female,3.4,4.55,24,Mobile,22,Yes,2,IGA,Regular,Paid,2,positive,Excited,Stressed,No,No,Yes
433,26,Master's Level,Male,2.0,3.23,22,Mobile,22,No,5,CALL OF DUTY,Not regular,Paid,3,positive,Bored,No feeling,No,No,No
434,19,Bachelor Level,Male,3.0,3.0,21,PC,1,Yes,3,PES,Regular,Paid,3,positive,Excited,No feeling,Yes,No,No
435,25,Master's Level,Male,3.0,2.96,24,Mobile,2,Yes,6,COC,Regular,Paid,2,negative,Excited,Stressed,Yes,No,Yes
436,23,Bachelor Level,Male,3.0,3.76,18,PC,1,Yes,6,CALL OF DUTY,Not regular,Paid,2,negative,Excited,Excited to complete level,Yes,No,No
437,27,Master's Level,Female,3.77,5.0,22,Mobile,0,Yes,2,FREE FIRE,Regular,Paid,4,positive,Bored,Excited to complete level,Yes,Yes,Yes
438,24,Bachelor Level,Female,2.41,5.0,20,PC,23,No,5,IGA,Not regular,Paid,2,positive,Bored,Excited to complete level,Yes,No,Yes
439,22,Bachelor Level,Female,3.0,3.0,19,Mobile,0,Yes,2,IGA,Regular,Paid,2,negative,Excited,Excited to complete level,Yes,Yes,No
440,26,Master's Level,Male,3.0,4.15,22,Mobile,22,Yes,6,PES,Regular,Non Paid,4,negative,Bored,Stressed,Yes,No,No
441,18,Bachelor Level,Male,4.0,4.78,20,Mobile,1,Yes,3,PUBG,Not regular,Paid,3,negative,Excited,Stressed,No,No,Yes
442,20,Bachelor Level,Male,3.0,4.79,20,Mobile,2,No,2,PES,Regular,Non Paid,4,negative,Excited,Excited to complete level,No,Yes,No
443,18,Bachelor Level,Female,3.67,3.17,18,Mobile,23,Yes,6,FIFA,Not regular,Non Paid,2,negative,Bored,Excited to complete level,No,Yes,No
444,24,Bachelor Level,Male,3.0,5.0,19,Mobile,2,No,5,FIFA,Not regular,Paid,3,negative,Bored,No feeling,Yes,Yes,Yes
445,26,Master's Level,Female,3.0,4.0,23,Mobile,1,No,5,CALL OF DUTY,Regular,Paid,2,positive,Bored,Stressed,Yes,Yes,Yes
446,19,Bachelor Level,Female,4.0,4.94,19,PC,1,Yes,3,COC,Regular,Non Paid,2,positive,Excited,No feeling,No,Yes,No
447,22,Bachelor Level,Male,2.0,4.32,21,Mobile,23,Yes,3,FREE FIRE,Not regular,Paid,2,positive,Excited,Stressed,No,No,No
448,18,Bachelor Level,Female,3.75,4.0,20,Mobile,22,No,2,CALL OF DUTY,Regular,Paid,3,negative,Bored,Excited to complete level,No,Yes,No
449,22,Bachelor Level,Male,2.9,4.2,19,PC,22,No,5,FREE FIRE,Not regular,Paid,4,negative,Bored,Excited to complete level,Yes,No,Yes
450,21,Bachelor Level,Female,2.88,5.0,21,PC,23,No,6,FIFA,Regular,Paid,3,negative,Excited,Stressed,No,Yes,Yes
451,20,Bachelor Level,Female,3.37,4.5,20,Mobile,1,Yes,5,PUBG,Not regular,Non Paid,4,negative,Bored,Excited to complete level,No,No,No
452,21,Bachelor Level,Female,3.77,4.2,20,Mobile,0,No,5,IGA,Regular,Non Paid,2,negative,Excited,Stressed,Yes,Yes,No
453,24,Bachelor Level,Male,2.24,4.91,21,Mobile,1,Yes,3,FIFA,Not regular,Paid,4,negative,Bored,No feeling,No,Yes,No
454,21,Bachelor Level,Male,3.77,5.0,18,PC,22,No,2,IGA,Not regular,Paid,2,negative,Excited,Stressed,Yes,Yes,Yes
455,24,Bachelor Level,Male,3.0,4.0,18,Mobile,22,No,4,PUBG,Not regular,Non Paid,2,negative,Excited,No feeling,Yes,Yes,Yes
456,27,Master's Level,Female,2.0,3.59,22,PC,22,No,4,COC,Regular,Non Paid,2,negative,Bored,No feeling,Yes,No,No
457,21,Bachelor Level,Female,4.0,5.0,19,PC,0,Yes,6,FREE FIRE,Not regular,Paid,3,negative,Bored,Stressed,Yes,Yes,No
458,24,Bachelor Level,Female,4.0,5.0,21,PC,22,Yes,6,IGA,Not regular,Non Paid,4,negative,Excited,Stressed,Yes,Yes,No
459,18,Bachelor Level,Female,3.21,4.0,18,Mobile,1,No,5,CALL OF DUTY,Not regular,Non Paid,3,negative,Excited,Excited to complete level,No,No,No
460,18,Bachelor Level,Female,3.22,4.0,19,Mobile,23,No,6,FREE FIRE,Regular,Non Paid,4,negative,Excited,Stressed,No,Yes,No
461,21,Bachelor Level,Male,3.62,4.78,18,PC,0,No,2,PUBG,Not regular,Non Paid,2,negative,Bored,No feeling,Yes,No,No
462,26,Master's Level,Female,3.46,4.7,24,PC,2,No,5,PUBG,Not regular,Non Paid,3,negative,Bored,Stressed,Yes,No,No
463,19,Bachelor Level,Male,3.0,4.48,19,Mobile,23,No,3,FIFA,Not regular,Paid,3,positive,Bored,Excited to complete level,No,No,Yes
464,21,Bachelor Level,Female,3.14,5.0,19,PC,2,No,2,IGA,Regular,Paid,2,negative,Excited,Excited to complete level,Yes,No,Yes
465,26,Master's Level,Male,3.0,5.0,24,PC,23,Yes,4,FREE FIRE,Regular,Non Paid,4,negative,Excited,Excited to complete level,Yes,Yes,No
466,22,Bachelor Level,Male,3.0,4.54,18,Mobile,22,No,6,IGA,Not regular,Non Paid,2,positive,Bored,Excited to complete level,Yes,Yes,No
467,21,Bachelor Level,Male,4.0,4.14,19,Mobile,0,Yes,6,FIFA,Not regular,Paid,3,negative,Excited,Stressed,No,Yes,No
468,24,Bachelor Level,Female,2.23,3.9,18,PC,22,Yes,4,CALL OF DUTY,Regular,Non Paid,4,positive,Excited,Stressed,No,No,No
469,27,Master's Level,Female,2.09,4.0,20,PC,22,Yes,6,PUBG,Regular,Non Paid,2,negative,Bored,Stressed,No,Yes,Yes
470,21,Bachelor Level,Female,2.0,5.0,20,PC,23,Yes,6,PUBG,Regular,Paid,4,positive,Bored,Stressed,Yes,No,Yes
471,18,Bachelor Level,Female,3.76,4.17,21,Mobile,1,Yes,2,FREE FIRE,Not regular,Non Paid,2,negative,Bored,Stressed,No,Yes,Yes
472,25,Master's Level,Female,3.99,3.86,23,Mobile,22,Yes,4,FIFA,Not regular,Paid,3,negative,Bored,No feeling,Yes,No,No
473,28,Master's Level,Male,2.89,4.48,20,Mobile,2,Yes,5,PES,Not regular,Non Paid,4,negative,Bored,No feeling,No,Yes,No
474,22,Bachelor Level,Female,3.0,4.0,18,Mobile,2,No,4,CALL OF DUTY,Regular,Paid,2,negative,Bored,Excited to complete level,Yes,No,No
475,24,Bachelor Level,Female,3.05,4.08,20,PC,1,Yes,6,PES,Regular,Paid,4,negative,Bored,Stressed,Yes,Yes,No
476,18,Bachelor Level,Male,2.31,3.0,20,PC,2,Yes,2,PUBG,Not regular,Non Paid,4,negative,Bored,Stressed,No,Yes,No
477,27,Master's Level,Female,2.0,4.82,23,PC,2,No,2,FREE FIRE,Not regular,Paid,2,negative,Excited,Stressed,Yes,Yes,Yes
478,21,Bachelor Level,Female,3.5,5.0,21,PC,2,Yes,4,CALL OF DUTY,Not regular,Non Paid,3,negative,Bored,Excited to complete level,Yes,Yes,No
479,22,Bachelor Level,Male,3.0,4.0,21,Mobile,0,No,2,PES,Not regular,Paid,2,negative,Excited,No feeling,No,No,No
481,24,Bachelor Level,Female,4.0,4.75,18,PC,0,No,3,PUBG,Not regular,Paid,4,negative,Bored,No feeling,No,Yes,Yes
482,23,Bachelor Level,Male,3.0,4.08,19,Mobile,23,No,2,COC,Regular,Paid,4,negative,Excited,No feeling,No,Yes,No
483,27,Master's Level,Female,3.5,4.0,21,PC,2,No,3,IGA,Regular,Non Paid,2,negative,Bored,Stressed,Yes,No,Yes
484,25,Master's Level,Male,2.04,3.0,22,Mobile,0,Yes,5,CALL OF DUTY,Not regular,Paid,4,negative,Excited,Excited to complete level,Yes,No,No
485,25,Master's Level,Male,3.0,3.0,23,Mobile,1,No,6,IGA,Not regular,Non Paid,3,negative,Bored,Excited to complete level,Yes,Yes,No
486,18,Bachelor Level,Male,3.52,5.0,18,PC,0,Yes,2,PES,Regular,Non Paid,2,negative,Excited,Excited to complete level,Yes,Yes,No
487,19,Bachelor Level,Female,3.66,4.0,19,PC,23,Yes,6,CALL OF DUTY,Not regular,Non Paid,3,negative,Excited,No feeling,No,Yes,Yes
488,28,Master's Level,Female,3.03,4.0,24,Mobile,1,No,4,CALL OF DUTY,Not regular,Non Paid,4,negative,Bored,Stressed,Yes,No,Yes
489,23,Bachelor Level,Male,2.56,3.0,18,Mobile,1,No,2,PES,Regular,Paid,3,negative,Bored,Stressed,No,No,No
490,27,Master's Level,Female,3.39,4.35,22,Mobile,23,No,4,COC,Regular,Paid,4,positive,Excited,Excited to complete level,No,Yes,Yes
491,21,Bachelor Level,Male,3.05,4.0,20,PC,1,No,2,IGA,Regular,Paid,2,negative,Excited,Stressed,Yes,Yes,Yes
492,23,Bachelor Level,Female,3.0,5.0,20,PC,0,Yes,5,FREE FIRE,Regular,Non Paid,2,negative,Excited,No feeling,No,Yes,Yes
493,28,Master's Level,Female,2.85,4.0,24,PC,0,Yes,4,IGA,Not regular,Paid,4,negative,Excited,Excited to complete level,No,Yes,No
494,20,Bachelor Level,Male,3.15,3.0,18,PC,2,No,4,IGA,Regular,Non Paid,4,negative,Excited,Excited to complete level,Yes,No,No
495,24,Bachelor Level,Female,2.36,3.65,21,Mobile,1,No,2,FREE FIRE,Not regular,Non Paid,2,negative,Excited,Excited to complete level,No,Yes,Yes
496,23,Bachelor Level,Male,3.5,4.75,21,PC,1,Yes,2,PES,Regular,Non Paid,3,positive,Bored,Excited to complete level,Yes,Yes,Yes
497,21,Bachelor Level,Male,4.0,4.5,18,PC,1,No,4,PES,Regular,Non Paid,4,positive,Excited,Stressed,No,No,No
498,20,Bachelor Level,Female,2.38,4.9,19,PC,1,No,5,FIFA,Regular,Paid,2,negative,Excited,Stressed,No,No,Yes
500,19,Bachelor Level,Male,3.0,4.66,21,Mobile,22,No,3,IGA,Regular,Non Paid,2,negative,Excited,Stressed,Yes,No,Yes
501,28,Master's Level,Female,2.18,5.0,21,PC,1,No,2,FREE FIRE,Not regular,Non Paid,3,negative,Excited,Stressed,No,Yes,Yes
502,27,Master's Level,Female,3.13,5.0,20,PC,23,Yes,2,PES,Regular,Non Paid,4,negative,Bored,Excited to complete level,No,No,No
503,27,Master's Level,Male,3.56,5.0,22,Mobile,2,No,4,FREE FIRE,Regular,Non Paid,3,negative,Excited,Excited to complete level,Yes,No,No
504,19,Bachelor Level,Female,4.0,5.0,18,Mobile,22,No,3,FREE FIRE,Not regular,Non Paid,3,negative,Bored,No feeling,No,No,Yes
505,22,Bachelor Level,Female,3.8,4.5,18,Mobile,23,Yes,5,FREE FIRE,Regular,Non Paid,2,negative,Bored,No feeling,No,Yes,No
506,19,Bachelor Level,Male,3.87,4.1,19,Mobile,22,Yes,6,PES,Regular,Paid,3,negative,Bored,Excited to complete level,Yes,No,No
508,25,Master's Level,Female,3.3,3.37,21,PC,2,No,3,FIFA,Not regular,Paid,3,positive,Bored,Stressed,Yes,No,Yes
509,24,Bachelor Level,Female,3.8,4.0,19,PC,0,Yes,6,PUBG,Regular,Non Paid,2,negative,Bored,Excited to complete level,No,Yes,Yes
510,27,Master's Level,Female,4.0,5.0,22,Mobile,23,No,5,CALL OF DUTY,Regular,Non Paid,3,negative,Excited,Stressed,No,No,No
511,18,Bachelor Level,Male,4.0,4.73,19,PC,22,No,3,FIFA,Not regular,Paid,2,negative,Excited,Excited to complete level,No,No,Yes
512,18,Bachelor Level,Female,2.53,3.03,18,PC,2,No,4,PES,Regular,Paid,2,negative,Bored,No feeling,Yes,No,Yes
513,22,Bachelor Level,Female,3.19,4.29,18,PC,1,No,4,IGA,Not regular,Non Paid,2,negative,Bored,No feeling,No,Yes,No
514,19,Bachelor Level,Male,4.0,5.0,18,PC,23,Yes,4,PUBG,Regular,Paid,4,negative,Bored,Excited to complete level,No,Yes,No
515,27,Master's Level,Male,4.0,5.0,24,Mobile,23,No,4,PES,Not regular,Non Paid,4,negative,Excited,No feeling,No,No,Yes
516,24,Bachelor Level,Female,3.0,4.0,18,Mobile,23,Yes,4,PUBG,Not regular,Non Paid,4,negative,Excited,Excited to complete level,No,No,No
517,24,Bachelor Level,Female,4.0,4.04,20,Mobile,22,No,5,CALL OF DUTY,Not regular,Paid,3,negative,Excited,Excited to complete level,Yes,Yes,No
518,18,Bachelor Level,Male,2.12,4.33,19,PC,1,Yes,6,CALL OF DUTY,Not regular,Non Paid,3,negative,Bored,Excited to complete level,Yes,Yes,No
519,19,Bachelor Level,Female,3.0,4.83,20,PC,22,No,6,PES,Regular,Paid,4,negative,Bored,No feeling,Yes,Yes,Yes
520,27,Master's Level,Male,2.98,4.0,22,PC,0,Yes,2,FIFA,Not regular,Paid,2,negative,Bored,Stressed,Yes,Yes,Yes
521,24,Bachelor Level,Female,3.25,4.43,19,Mobile,23,Yes,4,CALL OF DUTY,Regular,Non Paid,4,negative,Bored,No feeling,Yes,No,No
522,26,Master's Level,Female,3.96,4.16,22,PC,1,No,2,IGA,Not regular,Paid,4,negative,Excited,Stressed,Yes,No,No
523,21,Bachelor Level,Male,3.0,4.55,19,Mobile,23,No,3,FREE FIRE,Regular,Paid,2,positive,Bored,No feeling,No,No,Yes
524,26,Master's Level,Female,4.0,5.0,21,Mobile,22,No,3,CALL OF DUTY,Regular,Paid,2,negative,Bored,No feeling,No,No,No
525,19,Bachelor Level,Male,3.0,4.0,19,Mobile,22,Yes,5,PES,Regular,Non Paid,2,negative,Excited,No feeling,No,Yes,Yes
526,26,Master's Level,Male,3.0,3.18,22,Mobile,1,Yes,3,IGA,Not regular,Paid,3,positive,Bored,Stressed,Yes,Yes,No
527,27,Master's Level,Male,3.12,4.0,21,Mobile,1,No,5,COC,Regular,Paid,2,positive,Bored,No feeling,No,Yes,No
528,27,Master's Level,Male,2.76,4.75,20,Mobile,22,No,6,IGA,Regular,Non Paid,3,negative,Bored,Excited to complete level,Yes,No,No
529,18,Bachelor Level,Female,4.0,4.22,20,PC,1,No,2,CALL OF DUTY,Regular,Paid,2,positive,Bored,Excited to complete level,No,Yes,No
530,19,Bachelor Level,Female,3.19,4.5,19,Mobile,23,Yes,5,FIFA,Regular,Non Paid,3,negative,Bored,No feeling,No,No,Yes
531,20,Bachelor Level,Female,3.04,4.0,20,Mobile,1,No,3,FIFA,Not regular,Non Paid,3,negative,Excited,Stressed,No,Yes,No
532,22,Bachelor Level,Female,2.0,3.86,21,PC,0,No,2,PUBG,Not regular,Non Paid,3,positive,Bored,Stressed,Yes,Yes,Yes
533,18,Bachelor Level,Male,3.0,3.9,21,PC,2,Yes,3,PUBG,Not regular,Non Paid,4,negative,Excited,No feeling,No,Yes,Yes
534,28,Master's Level,Male,2.75,4.0,23,PC,22,Yes,6,FIFA,Regular,Paid,2,positive,Bored,Stressed,Yes,No,Yes
535,20,Bachelor Level,Female,3.0,3.59,20,Mobile,23,No,2,IGA,Not regular,Non Paid,3,negative,Bored,Excited to complete level,Yes,Yes,Yes
536,20,Bachelor Level,Female,2.69,4.0,18,Mobile,22,Yes,2,FIFA,Not regular,Paid,4,negative,Excited,No feeling,Yes,Yes,Yes
537,19,Bachelor Level,Male,2.34,3.0,21,PC,23,Yes,3,FREE FIRE,Not regular,Non Paid,2,positive,Bored,No feeling,Yes,Yes,Yes
538,27,Master's Level,Male,2.33,4.0,20,Mobile,1,Yes,5,PES,Regular,Non Paid,4,positive,Excited,No feeling,No,No,Yes
539,23,Bachelor Level,Female,2.6,5.0,20,Mobile,1,Yes,6,COC,Not regular,Paid,3,negative,Excited,No feeling,No,No,Yes
540,24,Bachelor Level,Female,2.5,3.6,20,Mobile,22,Yes,3,IGA,Regular,Non Paid,2,positive,Bored,Excited to complete level,Yes,No,No
541,23,Bachelor Level,Male,3.0,3.5,19,Mobile,23,Yes,6,FREE FIRE,Not regular,Paid,3,negative,Bored,No feeling,Yes,No,Yes
542,23,Bachelor Level,Male,3.02,4.5,18,PC,2,No,2,COC,Regular,Non Paid,4,negative,Excited,No feeling,Yes,No,Yes
543,21,Bachelor Level,Female,3.02,3.95,21,Mobile,0,Yes,4,PES,Not regular,Non Paid,4,negative,Excited,Stressed,Yes,Yes,No
544,20,Bachelor Level,Male,3.4,4.52,21,Mobile,2,No,6,FREE FIRE,Not regular,Non Paid,2,negative,Excited,Stressed,No,No,Yes
545,27,Master's Level,Male,3.0,4.45,21,PC,22,No,3,IGA,Regular,Non Paid,4,positive,Bored,Excited to complete level,Yes,Yes,Yes
546,20,Bachelor Level,Male,2.5,5.0,19,PC,1,Yes,3,PUBG,Not regular,Paid,2,negative,Bored,Stressed,No,Yes,Yes
547,19,Bachelor Level,Male,3.0,5.0,18,PC,2,No,6,FIFA,Not regular,Non Paid,4,negative,Excited,Excited to complete level,No,No,No
548,18,Bachelor Level,Female,3.2,3.0,20,PC,23,No,5,PES,Not regular,Non Paid,3,negative,Bored,No feeling,Yes,No,No
550,24,Bachelor Level,Female,3.0,4.0,19,PC,22,No,5,PES,Regular,Non Paid,2,negative,Bored,Excited to complete level,Yes,No,No
551,18,Bachelor Level,Male,2.0,4.0,19,Mobile,0,Yes,6,COC,Regular,Non Paid,4,positive,Excited,Stressed,No,No,No
552,18,Bachelor Level,Male,4.0,4.22,21,Mobile,0,No,3,FREE FIRE,Regular,Non Paid,4,negative,Bored,Stressed,No,No,No
553,19,Bachelor Level,Male,3.44,4.0,18,Mobile,22,No,6,FIFA,Not regular,Paid,4,positive,Excited,No feeling,No,Yes,Yes
554,27,Master's Level,Male,3.98,5.0,22,PC,23,Yes,4,IGA,Not regular,Paid,2,negative,Excited,No feeling,No,No,No
555,28,Master's Level,Female,3.82,4.65,20,Mobile,2,Yes,4,CALL OF DUTY,Not regular,Non Paid,4,positive,Bored,No feeling,No,No,Yes
556,19,Bachelor Level,Male,2.0,4.15,18,Mobile,2,No,6,PES,Not regular,Non Paid,2,negative,Bored,Stressed,No,No,Yes
557,23,Bachelor Level,Male,2.77,4.71,18,Mobile,0,Yes,3,COC,Regular,Paid,2,negative,Excited,No feeling,No,Yes,No
558,24,Bachelor Level,Female,2.0,4.04,21,PC,2,Yes,3,PES,Not regular,Paid,3,negative,Bored,Stressed,Yes,No,Yes
559,21,Bachelor Level,Female,4.0,5.0,20,PC,23,No,2,CALL OF DUTY,Regular,Paid,4,positive,Bored,No feeling,No,Yes,Yes
560,25,Master's Level,Male,3.0,5.0,21,PC,23,Yes,5,COC,Regular,Non Paid,2,negative,Bored,Stressed,Yes,No,No
561,18,Bachelor Level,Female,4.0,5.0,19,Mobile,2,No,6,FIFA,Regular,Paid,4,negative,Excited,Excited to complete level,No,Yes,No
562,28,Master's Level,Male,3.63,4.0,20,Mobile,23,No,2,COC,Regular,Non Paid,4,negative,Bored,Stressed,No,No,No
563,20,Bachelor Level,Female,3.84,5.0,18,Mobile,2,Yes,2,FIFA,Not regular,Non Paid,4,negative,Bored,Excited to complete level,No,Yes,Yes
564,28,Master's Level,Female,4.0,4.16,21,PC,0,Yes,2,COC,Not regular,Non Paid,4,negative,Bored,No feeling,No,No,No
565,23,Bachelor Level,Male,2.64,4.44,21,PC,1,Yes,2,CALL OF DUTY,Regular,Non Paid,2,positive,Bored,Stressed,Yes,No,No
566,24,Bachelor Level,Female,2.0,4.0,20,PC,22,Yes,5,FREE FIRE,Not regular,Non Paid,2,negative,Excited,Stressed,Yes,Yes,No
567,24,Bachelor Level,Female,3.41,5.0,19,PC,0,No,3,COC,Not regular,Non Paid,4,positive,Bored,No feeling,Yes,Yes,Yes
568,21,Bachelor Level,Male,3.48,3.8,18,Mobile,2,No,6,COC,Not regular,Non Paid,2,negative,Bored,Excited to complete level,Yes,Yes,No
569,26,Master's Level,Male,3.69,4.28,21,Mobile,23,No,6,COC,Regular,Non Paid,2,negative,Excited,Stressed,Yes,No,No
570,28,Master's Level,Male,2.27,3.0,21,PC,22,Yes,2,CALL OF DUTY,Not regular,Paid,2,positive,Bored,Excited to complete level,No,No,Yes
571,26,Master's Level,Male,2.61,4.03,24,Mobile,1,Yes,6,COC,Regular,Non Paid,3,positive,Bored,Excited to complete level,Yes,No,No
572,26,Master's Level,Female,2.43,4.0,22,PC,2,Yes,4,COC,Not regular,Non Paid,3,negative,Bored,Excited to complete level,No,No,Yes
573,28,Master's Level,Female,2.84,4.0,21,Mobile,2,No,3,PES,Regular,Paid,3,negative,Excited,No feeling,No,No,Yes
576,21,Bachelor Level,Male,3.0,5.0,19,PC,22,No,4,IGA,Not regular,Paid,3,negative,Bored,Excited to complete level,No,No,No
577,21,Bachelor Level,Male,3.4,4.0,21,Mobile,2,Yes,3,CALL OF DUTY,Not regular,Non Paid,2,negative,Excited,No feeling,No,Yes,No
578,28,Master's Level,Male,3.0,4.0,23,Mobile,1,Yes,6,FREE FIRE,Regular,Non Paid,2,positive,Excited,Excited to complete level,No,Yes,Yes
579,19,Bachelor Level,Male,2.86,3.5,18,PC,1,No,3,IGA,Regular,Non Paid,4,negative,Bored,Stressed,Yes,No,Yes
580,19,Bachelor Level,Male,3.59,3.0,18,Mobile,23,No,3,CALL OF DUTY,Not regular,Paid,2,negative,Excited,Stressed,No,No,Yes
581,23,Bachelor Level,Male,3.0,4.0,18,PC,23,Yes,5,PES,Not regular,Non Paid,2,negative,Excited,Stressed,No,Yes,No
582,21,Bachelor Level,Female,3.02,5.0,19,PC,1,Yes,5,CALL OF DUTY,Regular,Non Paid,2,positive,Bored,Stressed,Yes,Yes,No
584,21,Bachelor Level,Female,3.84,4.0,18,PC,0,No,6,FREE FIRE,Regular,Non Paid,4,negative,Excited,Excited to complete level,Yes,Yes,No
585,19,Bachelor Level,Male,4.0,3.0,20,PC,23,Yes,5,PES,Regular,Non Paid,4,negative,Excited,Stressed,Yes,Yes,No
586,24,Bachelor Level,Male,3.0,3.55,20,PC,23,No,4,FREE FIRE,Regular,Non Paid,2,positive,Excited,No feeling,No,No,No
587,22,Bachelor Level,Male,2.8,4.0,19,PC,22,No,6,CALL OF DUTY,Not regular,Paid,3,negative,Excited,Stressed,No,Yes,Yes
588,19,Bachelor Level,Female,2.0,3.75,21,Mobile,22,Yes,5,IGA,Regular,Paid,3,negative,Excited,Stressed,Yes,No,No
589,24,Bachelor Level,Female,3.98,3.0,20,Mobile,23,No,6,CALL OF DUTY,Not regular,Paid,4,negative,Bored,Stressed,No,Yes,Yes
590,22,Bachelor Level,Female,2.79,4.42,19,PC,22,Yes,3,FIFA,Not regular,Paid,4,negative,Bored,Excited to complete level,No,No,Yes
591,24,Bachelor Level,Male,2.97,3.98,18,PC,2,No,4,COC,Regular,Paid,4,negative,Bored,Excited to complete level,Yes,Yes,No
592,24,Bachelor Level,Female,3.0,3.11,18,PC,2,No,2,PUBG,Regular,Non Paid,4,positive,Bored,No feeling,No,Yes,No
593,26,Master's Level,Female,3.0,4.03,21,PC,23,No,5,CALL OF DUTY,Regular,Non Paid,4,negative,Excited,Excited to complete level,No,No,No
594,21,Bachelor Level,Female,2.68,4.08,18,PC,2,Yes,2,PUBG,Regular,Non Paid,3,negative,Excited,No feeling,Yes,No,No
595,23,Bachelor Level,Male,3.85,5.0,19,PC,0,No,2,COC,Not regular,Non Paid,4,negative,Bored,Stressed,Yes,No,No
596,27,Master's Level,Male,3.35,2.16,24,PC,22,No,5,PUBG,Not regular,Non Paid,3,negative,Bored,No feeling,Yes,Yes,Yes
597,24,Bachelor Level,Male,3.0,2.0,21,Mobile,22,Yes,3,PES,Regular,Paid,3,negative,Excited,Stressed,Yes,No,No
598,20,Bachelor Level,Male,4.0,5.0,21,PC,0,Yes,2,FREE FIRE,Regular,Non Paid,3,negative,Bored,Excited to complete level,No,Yes,Yes
599,23,Bachelor Level,Female,3.0,3.93,18,PC,2,No,5,COC,Regular,Non Paid,2,positive,Excited,Excited to complete level,Yes,Yes,Yes
600,25,Master's Level,Male,3.0,4.8,23,PC,22,Yes,3,COC,Not regular,Non Paid,4,negative,Bored,Stressed,Yes,Yes,Yes
601,26,Master's Level,Male,2.2,4.29,24,Mobile,22,No,2,FIFA,Not regular,Non Paid,4,negative,Bored,Stressed,No,Yes,No
602,28,Master's Level,Male,3.0,3.0,22,PC,0,No,2,FIFA,Regular,Non Paid,2,positive,Excited,Excited to complete level,Yes,Yes,No
603,20,Bachelor Level,Female,2.0,3.42,21,PC,1,No,6,COC,Regular,Non Paid,2,negative,Excited,Excited to complete level,No,No,Yes
604,28,Master's Level,Female,4.0,5.0,21,PC,23,Yes,6,PUBG,Regular,Non Paid,2,positive,Bored,No feeling,Yes,Yes,No
605,18,Bachelor Level,Female,2.32,3.61,19,PC,22,Yes,2,CALL OF DUTY,Regular,Non Paid,2,negative,Bored,No feeling,Yes,Yes,No
606,22,Bachelor Level,Male,2.0,3.39,19,Mobile,1,No,3,IGA,Not regular,Non Paid,4,negative,Bored,No feeling,Yes,No,Yes
607,19,Bachelor Level,Male,3.0,3.75,21,Mobile,0,Yes,6,IGA,Not regular,Paid,4,positive,Bored,Excited to complete level,Yes,Yes,No
608,21,Bachelor Level,Male,2.6,3.19,20,Mobile,2,Yes,4,IGA,Regular,Paid,3,positive,Bored,Excited to complete level,Yes,No,No
609,24,Bachelor Level,Male,2.54,3.0,20,Mobile,1,Yes,6,FIFA,Regular,Non Paid,3,negative,Bored,Stressed,Yes,Yes,Yes
610,23,Bachelor Level,Male,3.19,3.0,21,PC,23,Yes,5,PUBG,Regular,Paid,4,negative,Bored,Excited to complete level,Yes,Yes,Yes
611,23,Bachelor Level,Male,3.0,3.0,18,PC,2,Yes,4,IGA,Not regular,Paid,4,negative,Excited,Stressed,Yes,No,No
612,20,Bachelor Level,Female,3.96,4.03,19,Mobile,1,No,3,IGA,Not regular,Paid,2,negative,Bored,Stressed,Yes,Yes,Yes
613,23,Bachelor Level,Female,2.6,3.03,20,Mobile,0,No,6,FREE FIRE,Not regular,Non Paid,3,positive,Bored,No feeling,No,No,No
614,22,Bachelor Level,Male,3.0,3.54,20,Mobile,2,No,4,PUBG,Not regular,Paid,4,negative,Excited,No feeling,Yes,Yes,Yes
615,24,Bachelor Level,Female,3.0,3.81,18,Mobile,22,Yes,5,PUBG,Regular,Paid,2,negative,Bored,Excited to complete level,No,Yes,Yes
616,18,Bachelor Level,Male,2.5,4.0,18,Mobile,23,No,6,CALL OF DUTY,Regular,Paid,3,negative,Bored,Excited to complete level,Yes,No,No
